county,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"GA, Bryan",0,0,1,,,,,,,,,2,0,,,,,,,1
"GA, Bulloch",0,0,1,,,,,,,,,1,,,,,,,,1
"GA, Burke",,0,,,,,,,,,,0,,,,1,,,,
"GA, Butts",,0,0,0,,,,,,,1,,,,,,,,,
"GA, Camden",0,0,0,,,,,,,,0,,,,,,0,,1,
"GA, Candler",,0,0,,,,,,,,,0,,,,,1,,,
"GA, Carroll",,0,0,0,,,,,,,,1,,,,,0,,,
"GA, Catoosa",0,0,1,,,,,,,,,1,,,,,1,,,
"GA, Charlton",0,,,,,,,,,,,,,,,,,,,
"GA, Chatham",0,0,8,1,,1,0,,,,10,1,0,0,0,,4,0,1,0
"GA, Chattahoochee",,,0,0,,,,,,,,,,,,,,,,
"GA, Chattooga",0,0,0,,,,,,,,,,0,,,,,,,
"GA, Cherokee",,0,0,,,,1,,,,,0,0,,,,1,2,,
"GA, Clarke",0,1,0,0,,,1,,,,,,,,,1,,,,
"GA, Clayton",,0,1,3,,,1,0,,1,0,2,,,,,,,,
"GA, Clinch",0,,,,,,,,0,,,,,,,,,,,
"GA, Cobb",0,0,0,2,3,1,5,1,0,1,0,9,1,1,4,0,1,2,,
"GA, Coffee",0,1,1,,,,,,,,,,,1,,,,,,
"GA, Colquitt",,1,,,,,,,,,,,,,,,,,,
"GA, Columbia",0,0,0,,,,1,,,,,4,1,,,,1,1,,
"GA, Cook",0,0,,,,,,,,,,,,,,0,,,,
"GA, Coweta",,0,0,,,,,,,,,,,,,,0,0,,
"GA, Crawford",,0,,,,,,,,,,,,,,,,,,
"GA, Crisp",,1,0,,,,1,,,,0,,,,,,2,,,
"GA, Dade",,0,0,,,,,,,,,,,,,,,,,
"GA, Dawson",,,,,,,,,,,,1,,,,,,1,,
"GA, De Kalb",0,5,0,1,3,0,4,0,0,5,3,7,0,1,3,1,6,2,1,1
"GA, Decatur",0,0,,,,,,,,,,0,,,,,1,,,
"GA, Dodge",0,0,,,,,,,,,,,,,,,,,,
"GA, Dooly",,0,,0,,,,,,,,,,,,,,,,
"GA, Dougherty",0,2,2,,0,3,1,2,,1,,11,,,,,2,4,,3
"GA, Douglas",,0,0,0,0,,0,,,,,2,,,,1,0,,,
"GA, Early",,0,,,,,,,,,,1,,,,,,,,
"GA, Echols",0,,,,,,,,,,,,,,,,,1,,
"GA, Effingham",0,0,0,,,,,,,,,,,,,,,,,
"GA, Elbert",,,,,,,,,,,,,,,,,0,,,
"GA, Emanuel",,0,0,,,,,,,,,,,,,,,,,
"GA, Evans",,0,,,,,,,,,,,,,,,,,,
"GA, Fayette",,1,0,,,,,,,,1,0,,,,,,,,
"GA, Floyd",,0,0,,,,,2,,,,1,,,,,1,,,1
"GA, Forsyth",0,0,0,,,,,0,,,,1,,1,0,,1,,,
"GA, Franklin",0,0,,,,,,,,,,,0,,,,,0,,
"GA, Fulton",1,8,8,8,8,2,9,1,0,1,1,9,0,6,1,1,3,9,6,0
"GA, Gilmer",,0,0,,,,,,,,,,,,,,,,,
"GA, Glynn",0,0,,0,,,,,,,3,3,0,,1,,,1,0,
"GA, Gordon",,0,0,,,,,,,,,,0,,,,0,,,
"GA, Grady",0,0,,,,,,,,,,,,,,,,,,
"GA, Greene",,0,,,,,,,,,,,,,,,,,,
"GA, Gwinnett",0,2,0,1,0,0,3,0,,1,,5,0,,,,1,2,1,
"GA, Habersham",,0,,,,,2,,,,,1,,,,,,,,
"GA, Hall",,0,0,,,,1,,,,,,1,,,,,1,,
"GA, Haralson",,0,0,0,,,,,,,,,,,,,,,,
"GA, Harris",,,0,,,,,,,,,,,,,,,,,
"GA, Hart",0,0,,,,,,,,,,,,,,,,0,,
"GA, Heard",,0,0,,,,,,,,,,,,,,,,,
"GA, Henry",,0,0,0,0,,2,,,1,,,,,,,,,,
"GA, Houston",0,2,0,0,,,,,,,,5,,,,0,1,1,,
"GA, Irwin",,0,0,,,,,,,,,,,,,,,,,
"GA, Jackson",,0,0,,,,,,,,,,,,,,,,,
"GA, Jeff Davis",0,1,,,,,,,,,,,,,,,,,,
"GA, Jefferson",,,0,,,,,,,,,,,,,,,,,
"GA, Jenkins",,0,,,,,,,,,,,,,,,,,,
"GA, Johnson",,0,,,,,1,,,,,,,,,,1,,,
"GA, Jones",,,0,,0,,,,,,,,,,,,1,,,
"GA, Lamar",,0,,,,,,,,,,,,,,,1,,,
"GA, Lanier",0,,,,,,,,,,,,,,,,,,,
"GA, Laurens",0,0,0,,,,,,,,,,,,,,0,,,
"GA, Lee",,0,1,,,,,1,,,,2,,,,,1,,,
"GA, Liberty",0,,1,,,,,,,,,,0,0,,,,,,
"GA, Lincoln",,0,,,,,,,,,,,,,,,,,,
"GA, Long",0,0,,,,,,,,,,1,,,,,,,,
"GA, Lowndes",0,0,1,1,0,,,0,0,0,0,0,2,0,,,0,1,0,0
"GA, Lumpkin",,0,,,,,,,,,,,,,,,,,,
"GA, Macon",1,,0,,,,,,,,,1,,,,,,,,
"GA, Madison",,0,,,,,,,,,,,,,,,,,,
"GA, Marion",,0,0,,,,,,,,,,,,,,,,,
"GA, Mcduffie",,0,,,,,,,,,,0,,,,,1,,,
"GA, Mcintosh",0,0,1,,,,,,,,,,,,,,,,,
"GA, Meriwether",,0,0,,,,,,,,,,,,,,,,,
"GA, Miller",,0,,,,,2,,,,,1,,,,,1,1,,
"GA, Mitchell",,0,,,,,1,,,,,1,,,,,1,1,1,
"GA, Monroe",,0,0,,,,,,,,,,,,,,,,,
"GA, Montgomery",,1,,,,,,,,,,,,,,,,,,
"GA, Morgan",,0,0,0,,,,,,,,,,,,,1,,,
"GA, Murray",,0,0,,,,,,,,,,,,,,,,,
"GA, Muscogee",0,8,1,2,3,1,7,,2,1,2,8,1,,2,1,4,3,1,1
"GA, Newton",,1,0,0,,,0,,,,,,,,,,,,,
"GA, Oconee",,0,0,,,,,,,,,,,,,,,,,
"GA, Oglethorpe",,,0,,,,,,,,,,,,,,,,,
"GA, Paulding",,1,0,0,1,,,,,,,,,,,,,,,
"GA, Peach",,0,,0,,,,,,,,1,,,,,,,,
"GA, Pickens",,0,,,,,,,,,,,,,,,,,,
"GA, Pierce",1,,,,,,,,,,,,,,,,,1,1,
"GA, Pike",,1,0,,,,,,,,,,,,,,0,1,,
"GA, Polk",,0,2,,,,,,,,,,,,,,1,,,
"GA, Pulaski",,0,,0,,,,,,,,,,,,,,,,
"GA, Putnam",,0,1,,,,,,,,,,,,,,,,,
"GA, Quitman",,,,,,,,,,,,,,,,,1,,,
"GA, Rabun",,0,,,,,,,,,,,,,,,,,,
"GA, Randolph",,0,,,,,,,,,,1,,,,,,,,
"GA, Richmond",1,0,0,2,1,,3,,,,0,3,1,2,3,,0,,,
"GA, Rockdale",0,0,0,,,,,,,,,,,,,,1,,,
"GA, Schley",,,,,,,,,,,,1,,,,,,,,
"GA, Screven",,0,0,,,,,,,,,,,,,,0,,,
"GA, Seminole",,0,1,,,,,,,,,,,,,,,,,
"GA, Spalding",,1,0,,,0,,,,,,,,,1,,,,,
"GA, Stephens",0,0,,,,,,,,,,,,,,,1,,,
"GA, Sumter",,0,0,,,,,,,,,1,,,,,1,,,
"GA, Talbot",,0,,,,,,,,,,,,,,,,,,
"GA, Tattnall",0,0,,,,,,,,,,,,,,,,,,
"GA, Taylor",0,,3,,,,,,,,,,,,,,,,,
"GA, Telfair",,0,0,,,,,,,,,,,,,,,,,
"GA, Terrell",,0,,,0,,,,,,,1,,,,,,,,
"GA, Thomas",0,0,0,,0,,,,,0,,2,,,,,,,,
"GA, Tift",0,1,3,,1,,1,,1,,,,,,,,,,,
"GA, Toombs",0,2,,,,,,,,,,1,,,,,,,,
"GA, Towns",,0,,,,,,,,,,,,,,,,,,
"GA, Treutlen",,0,,,,,,,,,,,,,,,1,,,
"GA, Troup",,0,0,0,,,,,,,,1,,,,,,,,
"GA, Turner",,0,,,,,,,,,,,,,,,,,,
"GA, Twiggs",,0,0,,,,,,,,,,,,,,,,,
"GA, Union",,0,,,,,,,,,,,,,,,,,,
"GA, Upson",,0,0,0,,,,,,,,,,,,,0,,,
"GA, Walker",,0,2,,,,,,,,,,,,,,0,,,
"GA, Walton",,0,0,,,,,,,,,1,,,,,,,,
"GA, Ware",0,0,2,0,,0,,,0,,,,,,,,,,,
"GA, Warren",,0,,,,,,,,,,,,,,,,,,
"GA, Washington",,,0,,,,,,,,,,,,,,0,,,
"GA, Wayne",2,0,1,0,,,,,,,,1,0,,,,,,,0
"GA, Wheeler",,0,,,,,,,,,,,,,,,,,,
"GA, White",,0,1,,,,,,,,,,1,,,,,,,
"GA, Whitfield",,0,1,,,,,,,,1,,,,,,2,,,
"GA, Wilcox",,0,,,,,,,,,,,,,,,,,,
"GA, Wilkes",,,0,,,,,,,,,,,,,,,,,
"GA, Wilkinson",,,0,,,,,,,,,,,,,,,,,
"GA, Worth",0,0,0,,,,,,,,,1,,,,,0,,,
"HI, Honolulu",,,,,,,,,,,,,,1,,,,,,
"IA, Adair",,0,0,0,,1,1,,,,,,,,,,,,,
"IA, Adams",,0,0,,1,,,,,,,,,,1,,,1,,
"IA, Allamakee",,0,0,,,,,,,,,,,,,,1,,,
"IA, Appanoose",,0,0,,0,,,,,,,,,,,1,,,,
"IA, Audubon",,0,5,0,,,,,,,,,1,,,,,1,1,
"IA, Benton",,2,1,,,0,,,,,,,,,,,,,,
"IA, Black Hawk",,0,1,1,2,1,1,,0,,,,,0,,,0,0,,0
"IA, Boone",,1,2,,,,,,,,,1,,,,1,,1,,
"IA, Bremer",,0,1,0,0,0,0,0,,,,0,,,,,,3,,
"IA, Buchanan",,0,,0,,0,,0,,,,,,1,,,,0,,
"IA, Buena Vista",,1,2,0,0,0,,,,,,0,,,,,1,,,
"IA, Butler",,0,0,,,,,0,,,,,,,,,,1,,
"IA, Calhoun",,2,0,,2,,,0,,,,,,,,,,2,,
"IA, Carroll",,2,1,0,1,1,2,1,,,,,,,,,,,,
"IA, Cass",,3,0,,,1,,,,,,1,1,,,,,,,
"IA, Cedar",,1,1,0,,,1,,,,,0,,,0,,,,,
"IA, Cerro Gordo",,0,3,1,0,1,0,,,,1,,0,,,,,,,
"IA, Cherokee",,0,3,1,1,,,,,,,1,,,,,,,,
"IA, Chickasaw",,0,1,1,1,0,0,,,,,0,,,,,,1,,
"IA, Clarke",,0,1,,1,,,,,,,0,,,1,,,1,,
"IA, Clay",,0,0,0,,0,0,,,,,0,,1,,,,0,,
"IA, Clayton",,0,,,,,,,1,,,,,,,,,,,
"IA, Clinton",,0,0,1,1,0,,,0,,,,,,,2,,0,,
"IA, Crawford",,2,0,1,2,0,,1,,,,,2,2,,0,,,,
"IA, Dallas",,1,2,0,0,,0,,,,,,2,,1,,,,,
"IA, Davis",,0,0,,,0,,,,,,0,0,0,0,,,,0,
"IA, Decatur",,0,1,,,,,,,,,,,,,,,,,
"IA, Delaware",,0,0,,1,0,,,,,,,,,,,,,,
"IA, Des Moines",,1,1,0,0,,,,,,,1,,,,1,0,2,,
"IA, Dickinson",,0,5,0,2,2,2,,,,,2,1,,,,0,,,
"IA, Dubuque",,0,1,,0,0,0,,1,,,,,,0,,,0,,
"IA, Emmet",,0,,1,,3,,,,,,,,,,,,1,,
"IA, Fayette",,0,1,,,,,,,,,,1,,,,0,1,,
"IA, Floyd",,0,2,1,,,,,,,,1,,,,0,,1,,
"IA, Franklin",,0,0,,0,1,1,,,,,,,,,0,,1,,
"IA, Fremont",,1,,,,,,,,,1,1,1,,,1,,,,0
"IA, Greene",,1,0,0,,,,,,,,0,,,,,,1,,
"IA, Grundy",,0,0,0,,0,,,,,,1,0,,,,,,,
"IA, Guthrie",,0,1,,,,,,,,,0,,,,,,,,
"IA, Hamilton",,0,1,0,,0,,,,,,,1,,,,,,,
"IA, Hancock",,0,1,0,0,,,,,,,,,,1,,,,,
"IA, Hardin",,0,0,1,0,1,,,,,,,,,,0,,,,
"IA, Harrison",,0,3,,0,1,,,,,3,1,1,,0,0,,3,1,
"IA, Henry",,3,0,0,0,1,,,,,,,,,,1,,1,,
"IA, Howard",,0,0,0,,,0,,,0,,,,,,,,0,,
"IA, Humboldt",,1,,,0,,,,,,,,2,1,,1,,2,0,
"IA, Ida",,0,2,,0,,,,,,,,1,,,,1,1,,
"IA, Iowa",,1,0,0,,,,,,,,,,,,,,,,
"IA, Jackson",,0,0,1,0,1,1,,,,,0,0,,,0,,,,
"IA, Jasper",,1,4,0,,,,,,,,,1,,,,,1,,
"IA, Jefferson",,0,0,,0,,,,,,,0,,,0,0,,,,
"IA, Johnson",,0,1,1,,0,,,,,,0,,0,,2,,2,,
"IA, Jones",,1,1,0,,,,,,,,0,,,,,,,,
"IA, Keokuk",,0,2,,,0,,,,,,,,,,,,,,
"IA, Kossuth",,0,1,,1,1,,,,,,,1,,,,,1,,
"IA, Lee",,2,1,0,0,1,,,,,,,0,,1,,,,,
"IA, Linn",,2,1,0,0,0,,,,0,,1,1,0,,1,1,,,
"IA, Louisa",,0,1,0,,,,,,,,,,0,1,,,,,
"IA, Lucas",,0,0,,,,1,,1,,,0,,0,,,,,,
"IA, Lyon",,1,4,,1,0,,,,,,3,2,,1,3,2,8,,
"IA, Madison",,0,1,,2,,,,,,,1,,,,,,,,
"IA, Mahaska",,1,2,,,,,,,,,,,,2,,,0,,
"IA, Marion",,0,1,0,,2,,,,,,1,,,,,,1,,
"IA, Marshall",,4,0,0,,1,,,,,,0,,,,,0,0,,1
"IA, Mills",,0,1,,1,,,,,,2,,,,,,,3,,
"IA, Mitchell",,0,0,,,0,,,,,,,,,,,,1,0,
"IA, Monona",,0,7,,1,,1,2,,,,,4,1,,1,0,1,,
"IA, Monroe",,0,0,1,,,1,,,,,0,1,,,,,1,,
"IA, Montgomery",,2,2,0,1,,1,1,1,,,1,2,,,,,1,,
"IA, Muscatine",,0,1,1,,,1,,,,,,,,,,,,,
"IA, O Brien",,0,2,1,0,1,,,,1,,,,,,2,0,1,,0
"IA, Osceola",,0,2,,,0,,,,,,,,,,,1,,,
"IA, Page",,0,3,0,0,,2,,,,,2,,,,,,1,,
"IA, Palo Alto",,0,0,0,,,,,,,,1,,,,,,1,,
"IA, Plymouth",,0,7,2,1,3,1,,,,,2,1,1,1,2,,2,,1
"IA, Pocahontas",,0,1,0,2,0,,,,,,,,,,,,,,
"IA, Polk",,3,12,1,2,1,2,0,0,1,0,1,0,1,1,0,1,12,0,1
"IA, Pottawattamie",,1,9,1,1,3,1,1,1,1,2,2,4,1,,2,1,12,,
"IA, Poweshiek",,1,0,,,,,,,,,,,0,,,1,1,,
"IA, Ringgold",,0,0,0,0,1,,,,,,,1,,1,,,,,
"IA, Sac",,0,0,,2,0,1,,0,,,,,1,,,,0,,
"IA, Scott",0,3,2,0,1,0,0,0,,0,,0,1,,,1,,1,,
"IA, Shelby",,0,1,2,0,1,,,,,,0,1,,,1,,1,,
"IA, Sioux",,1,14,0,1,1,2,,,,,1,,2,,11,0,9,1,
"IA, Story",,1,1,1,0,0,1,,0,0,,0,0,0,0,0,1,4,,
"IA, Tama",,0,0,,,,,,,,,2,,,1,1,,,,
"IA, Taylor",,0,0,,,,,,,,,,,,,,,,,
"IA, Union",,0,0,,2,,,,,,,,0,,,,,0,0,
"IA, Van Buren",,0,0,,0,,,,,,,,1,,,0,,1,,
"IA, Wapello",,0,1,0,0,2,1,,,,,,,,,,,0,,
"IA, Warren",,1,1,0,0,0,,,0,0,,,,,1,,,3,,
"IA, Washington",,0,1,,,1,1,,,,0,0,,,,0,,1,,
"IA, Wayne",,0,0,,,,0,,,,,0,,,,,,1,,
"IA, Webster",,2,1,0,,,1,,,2,,,0,,0,0,,,,
"IA, Winnebago",,0,0,1,,0,,,,,,0,,,,,,,,
"IA, Winneshiek",,1,0,0,,0,0,,,,,0,,,,,,,,
"IA, Woodbury",,1,15,0,3,3,3,0,0,2,0,3,9,3,,2,1,8,2,0
"IA, Worth",,0,0,,,,,,,,,0,,,,,0,,,
"IA, Wright",,2,0,1,0,,,,,,,,,,,,,,,
"ID, Ada",,,,1,2,252,20,10,4,,1,2,8,2,1,0,8,2,2,3
"ID, Adams",,,,,0,9,0,4,1,,,1,0,0,,,1,0,0,
"ID, Bannock",,,,,,23,5,1,,,,,,0,,0,0,1,,
"ID, Bear Lake",,,,,,0,0,,,,,,,,,,,,,
"ID, Benewah",,,,,,,0,,,,,,,,,,,,,
"ID, Bingham",,,,0,,145,5,2,,,,0,0,0,0,0,,0,,
"ID, Blaine",,,,,0,10,,,,,,,,1,,,,,,
"ID, Boise",,,,,,6,,1,,,,,,0,,,,,,
"ID, Bonner",,,,,,,,,,,,,,,,0,0,,,
"ID, Bonneville",,,,,,32,4,2,1,,,,,,,,,,,
"ID, Boundary",,,,,,,1,,,,,,,0,,0,0,,,
"ID, Butte",,,,,,4,1,,,,,,,,,,,,,
"ID, Camas",,,,,,2,,,,,,,,,,,,,,
"ID, Canyon",,0,,0,2,180,26,2,9,1,,0,14,1,4,3,2,2,1,0
"ID, Caribou",,,,,,0,0,,,,1,,,,0,,,,,
"ID, Cassia",,,,,,4,1,,,,,,,,,,,,,
"ID, Clark",,,,,,0,,,,,,,,,,,,0,,
"ID, Clearwater",,,,,,1,,,,,,,,,,,,,,
"ID, Custer",,,,,,4,4,,1,,,,,,,,,,,
"ID, Elmore",,,,1,2,68,7,4,6,,,3,0,,,2,1,0,1,0
"ID, Franklin",,,,,,1,3,,,0,,,,,,,0,,,
"ID, Fremont",,,,,,5,1,,,,,,0,,,,,,,
"ID, Gem",,,,0,2,15,13,2,2,,0,5,1,2,0,0,3,1,0,1
"ID, Gooding",,,1,1,2,45,5,,1,,,1,1,3,0,0,2,1,0,1
"ID, Idaho",,,,,,3,,,,,,,,,,,,,,
"ID, Jefferson",,,,,0,14,1,,,,,,,,0,,,,,
"ID, Jerome",,,,0,0,12,1,1,0,,,,1,1,,,0,0,,
"ID, Kootenai",,,,,,1,1,,,,,,,,,,1,,,
"ID, Latah",,,,,,0,,,,,,,,,,,,,,
"ID, Lemhi",,,,,,2,6,,1,,,,,,,,,1,,
"ID, Lewis",,,,,,,,,,,,,1,,,1,,,,
"ID, Lincoln",,,,,0,9,0,,1,,,,,4,2,,,2,,
"ID, Madison",,,,,,7,2,,,,,,,,0,,,,,
"ID, Minidoka",,,,,,24,,,,,,,1,,,,,,,
"ID, Oneida",,,,,,0,1,,1,,,,,,,,,,,
"ID, Owyhee",,,,0,1,32,6,1,1,,,0,2,,1,1,1,1,3,1
"ID, Payette",,,,0,0,23,7,3,2,,0,3,5,1,2,2,2,0,1,0
"ID, Power",,,,,,2,0,,,,,,,,,,,0,,
"ID, Teton",,,,,,0,4,,,,,,,,,,,1,,
"ID, Twin Falls",,,,0,1,38,3,2,3,0,,2,3,1,0,0,1,1,1,
"ID, Valley",,,,,0,2,0,0,,,,,0,,0,0,,,,
"ID, Washington",,,,0,1,21,4,4,4,,1,0,3,3,3,,3,3,4,
"IL, Adams",,1,0,1,0,1,,0,0,0,,0,1,,1,,1,,0,
"IL, Alexander",,,,,,,,,,,,,0,,,,0,,,
"IL, Bond",,0,0,1,,1,,,0,,,2,1,,0,,,1,,
"IL, Boone",,0,0,1,,0,2,2,,,,0,0,0,1,0,1,0,,0
"IL, Brown",,0,0,,,1,,,,,,,,,,0,,,,0
"IL, Bureau",,0,1,0,0,0,1,,0,,,0,0,,,0,,0,0,
"IL, Calhoun",,0,,0,,,,,,,,,0,,0,,0,0,,
"IL, Carroll",,0,,,1,0,,,,0,,,0,,0,0,1,0,,
"IL, Cass",,0,0,0,,,,,,,,,,,1,,0,0,,
"IL, Champaign",,2,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,2,,0
"IL, Christian",,0,,,1,1,,,,,,,,,,,,,,
"IL, Clark",,2,,,,0,,,,,,,,,,,,,,
"IL, Clay",,0,0,0,,1,,,,,,0,0,,,0,0,0,0,
"IL, Clinton",,7,,2,,0,1,,0,,,,0,0,0,0,0,2,,
"IL, Coles",,1,,,0,0,,,,,1,,,,0,0,,1,,
"IL, Cook",0,635,20,23,134,86,33,9,1,30,22,174,59,26,27,98,52,104,14,34
"IL, Crawford",0,3,1,,,2,,,,,,1,,1,,0,,,,
"IL, Cumberland",,3,,,,0,,,,,,,,0,,,,,,
"IL, De Kalb",,2,2,0,0,1,0,,,,,1,0,0,0,0,0,2,0,
"IL, De Witt",,1,0,,,0,,,,,,0,,,,,,0,,
"IL, Douglas",,0,0,,0,0,,,,,,0,0,,0,0,1,0,,
"IL, Du Page",0,51,3,5,47,43,10,1,0,17,2,56,7,5,9,10,6,18,6,4
"IL, Edgar",,2,0,,,,,,0,,,0,,,,,,1,,
"IL, Edwards",,0,,,,,,,,,,,0,,,,,1,,
"IL, Effingham",,7,,,0,2,,,,,,,0,,,,,,,
"IL, Fayette",,0,0,0,,,,,,,,,0,,2,,0,0,,
"IL, Ford",,1,0,1,,1,,,,,,,0,,,0,0,1,,
"IL, Franklin",,0,0,,0,2,0,,0,,1,,2,1,,1,1,1,1,
"IL, Fulton",,8,,1,,0,,,,,,,0,0,0,0,0,1,0,
"IL, Gallatin",,0,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
"IL, Greene",,0,0,0,,,,,,0,,0,1,,0,0,0,0,,0
"IL, Grundy",,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,1
"IL, Hamilton",,0,0,,,0,,,,,,,0,,,,,,0,
"IL, Hancock",,1,0,1,,0,,,,,,,0,,,,0,0,,
"IL, Hardin",,0,,,,,1,,,,,,,,,,,,,
"IL, Henderson",,2,0,0,0,0,,,,,,0,,,,,,,0,
"IL, Henry",,2,0,0,0,1,1,,,,0,1,0,0,0,,,0,0,
"IL, Iroquois",,0,,0,0,0,0,,,,,,0,,1,,,0,,
"IL, Jackson",,6,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0
"IL, Jasper",,2,0,,,0,,,,,,0,1,,,,,0,,
"IL, Jefferson",,1,0,1,,2,0,,,0,,,1,,0,,,,,
"IL, Jersey",,0,0,0,,,,,0,,,0,,0,0,1,,,,
"IL, Jo Daviess",,0,0,1,,1,,,,0,,1,0,,,1,0,,,
"IL, Johnson",,0,,,0,,,,,,,0,,0,0,,0,,,
"IL, Kane",0,9,0,2,18,4,13,3,0,5,1,13,0,2,4,7,2,7,0,0
"IL, Kankakee",,1,0,1,3,1,,,,0,,3,1,0,0,1,2,0,1,0
"IL, Kendall",,2,0,1,3,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0
"IL, Knox",,1,0,0,0,0,,,0,0,,0,0,0,,0,,,,1
"IL, La Salle",,11,1,5,1,1,2,0,0,,0,0,1,1,0,1,1,1,0,0
"IL, Lake",0,8,1,0,11,11,5,0,0,1,0,7,6,2,5,2,6,8,0,0
"IL, Lawrence",,0,0,,,0,,,,,,0,,,,,,,,
"IL, Lee",,0,0,0,0,0,0,0,,0,,0,1,,0,0,1,0,,0
"IL, Livingston",,0,0,,0,0,0,,,0,,,1,,2,0,0,0,,
"IL, Logan",,1,0,0,,0,0,0,,,,0,1,0,0,0,0,0,,
"IL, Macon",,9,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
"IL, Macoupin",,6,1,0,0,2,0,,0,,,1,0,1,0,1,,1,0,0
"IL, Madison",,14,2,0,0,2,2,0,0,,,0,0,0,3,1,2,2,0,
"IL, Marion",,1,0,0,0,1,0,,0,,3,,1,,,,0,2,0,
"IL, Marshall",,0,,,1,,,1,,,,0,,,0,,,0,0,
"IL, Mason",,1,0,0,0,,,,,,,,1,,2,,,,,
"IL, Massac",,0,,,0,,,,0,,,,0,,0,1,1,,1,
"IL, Mcdonough",,0,1,0,0,0,,0,,,,,0,0,0,0,0,0,,
"IL, Mchenry",0,2,0,0,3,6,5,0,,1,1,6,2,1,2,2,4,2,0,0
"IL, Mclean",,3,1,1,4,3,1,0,,0,,1,2,0,0,3,0,0,,0
"IL, Menard",,1,0,0,,0,,,,,,,0,,1,0,0,0,0,
"IL, Mercer",,0,0,0,0,,,,0,0,,,,0,0,1,,0,0,0
"IL, Monroe",,0,,,,1,0,,,,,0,0,1,0,1,0,0,0,
"IL, Montgomery",,4,0,0,0,0,0,1,,,,0,0,,0,0,0,0,0,
"IL, Morgan",,0,0,,1,1,0,,,,,,1,,,,,0,,
"IL, Moultrie",,1,,,,3,,,,,,0,1,,,0,,0,,
"IL, Ogle",,0,,0,0,1,1,,0,,,,1,,0,0,0,0,0,0
"IL, Peoria",,6,0,0,7,0,0,0,,1,,3,1,0,0,1,1,1,1,
"IL, Perry",,0,0,,,0,,,0,,,,1,0,,,0,0,0,
"IL, Piatt",,0,3,,0,0,,,,,,,,,,,,0,,
"IL, Pike",,0,0,0,,,1,,,,,,0,,,,,0,,
"IL, Pope",,0,,,,,,,,,,,,,,,,0,,
"IL, Pulaski",,0,,,,,,,,,,,1,0,,,0,,,
"IL, Putnam",,0,,,,0,,,,,,,0,,0,,,0,,
"IL, Randolph",,0,0,,0,0,,,,,,,,0,,,,,,
"IL, Richland",,0,1,,,1,0,,,,,,,,,1,,,,
"IL, Rock Island",,2,1,1,2,1,1,,,0,1,0,0,0,0,0,0,2,0,
"IL, Saline",,1,0,0,0,0,3,,,,,0,,0,,0,0,0,,
"IL, Sangamon",,13,4,3,1,3,1,0,0,0,,3,1,0,1,2,0,1,1,
"IL, Schuyler",,0,0,0,1,,,,,,,,,0,0,0,0,,,
"IL, Scott",,0,0,,,0,,,,,,,,,,,0,0,1,
"IL, Shelby",,3,0,,,,,,,,,,,,,,,,,
"IL, St Clair",,15,1,3,2,2,3,0,2,0,0,1,5,0,9,3,1,2,2,
"IL, Stark",,1,,,,,,,,,,,,,,,,0,,
"IL, Stephenson",,1,0,0,0,1,0,1,0,0,,0,1,0,0,0,0,2,,0
"IL, Tazewell",,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,2,0,1
"IL, Union",,0,,,,0,,,,,,,0,0,0,,0,0,,
"IL, Vermilion",,3,1,0,,1,0,,,,,,3,,0,0,0,,,
"IL, Wabash",,0,0,1,,,1,,,,,,1,,1,,,,,
"IL, Warren",,0,0,0,1,,1,,0,,,0,0,0,0,1,,,0,
"IL, Washington",,0,0,0,0,,,,0,,,0,1,0,,,0,0,,0
"IL, Wayne",,0,0,0,,,,,0,,,,,,,,0,0,0,
"IL, White",,1,,,,,0,,,,,0,1,0,0,0,0,0,0,
"IL, Whiteside",,1,3,0,0,0,1,1,,0,,0,0,0,0,0,0,1,0,
"IL, Will",0,18,3,3,8,18,3,0,0,2,1,11,0,1,3,10,1,4,0,1
"IL, Williamson",,2,0,0,,0,1,,1,,,1,3,,0,1,0,1,0,
"IL, Winnebago",,1,1,0,2,0,2,0,0,0,1,3,1,0,0,0,3,1,0,0
"IL, Woodford",,0,0,0,0,2,2,,,,,0,0,1,0,0,0,,0,
"IN, Adams",,8,2,,,1,1,0,0,2,0,3,0,0,0,0,0,0,,0
"IN, Allen",,69,7,1,2,11,1,0,0,2,1,12,1,0,4,2,1,5,0,0
"IN, Bartholomew",,0,0,0,0,,,0,,,0,1,1,,1,1,1,0,,
"IN, Benton",,0,,1,0,0,,,,0,,0,0,,0,0,0,0,,
"IN, Blackford",,1,1,,,1,,,,0,,2,0,,0,,0,0,,
"IN, Boone",,1,1,0,0,0,,0,,0,0,0,0,,0,0,0,0,0,
"IN, Brown",,0,0,,,0,,0,,,,0,0,,0,,0,,0,
"IN, Carroll",,0,0,0,1,0,,,,0,0,0,0,0,0,0,0,0,,
"IN, Cass",,0,,,,,,,,0,,0,0,,0,,0,0,,
