county,state,stcode,ctycode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Monona County,Iowa,19,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe County,Iowa,19,135,0,0,1,0,0,0,2,0,0,0,0,1,1,1,1,0,0,2,0,0
Montgomery County,Iowa,19,137,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
Muscatine County,Iowa,19,139,2,3,3,6,9,2,4,5,4,2,1,7,8,11,11,7,2,7,3,5
O'Brien County,Iowa,19,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola County,Iowa,19,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Page County,Iowa,19,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Palo Alto County,Iowa,19,147,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plymouth County,Iowa,19,149,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0
Pocahontas County,Iowa,19,151,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Polk County,Iowa,19,153,1,2,0,2,7,8,4,7,6,4,3,10,8,18,17,14,21,11,22,20
Pottawattamie County,Iowa,19,155,0,0,0,0,0,2,1,1,0,1,0,0,1,0,1,0,3,2,0,0
Poweshiek County,Iowa,19,157,0,0,0,0,1,0,0,0,2,1,0,1,2,2,0,1,0,1,3,0
Ringgold County,Iowa,19,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sac County,Iowa,19,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott County,Iowa,19,163,4,5,6,2,5,6,2,7,6,3,3,11,12,13,14,8,14,11,9,6
Shelby County,Iowa,19,165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Sioux County,Iowa,19,167,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,0
Story County,Iowa,19,169,1,3,5,3,4,0,2,1,2,0,1,2,3,2,3,5,5,1,3,4
Tama County,Iowa,19,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3
Taylor County,Iowa,19,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,Iowa,19,175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Van Buren County,Iowa,19,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Wapello County,Iowa,19,179,1,2,0,1,0,1,1,0,0,0,1,2,2,0,3,2,0,1,6,8
Warren County,Iowa,19,181,0,0,0,1,0,1,1,1,2,0,2,0,0,0,1,4,0,2,6,2
Washington County,Iowa,19,183,0,0,0,0,0,0,2,0,0,1,0,1,3,2,4,5,0,3,1,2
Wayne County,Iowa,19,185,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Webster County,Iowa,19,187,0,0,2,0,2,0,2,0,0,0,0,2,3,0,1,1,2,5,2,2
Winnebago County,Iowa,19,189,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0
Winneshiek County,Iowa,19,191,0,0,2,1,3,1,3,7,2,5,6,8,13,4,6,7,8,9,10,4
Woodbury County,Iowa,19,193,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,1,1,0
Worth County,Iowa,19,195,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0
Wright County,Iowa,19,197,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
Allen County,Kansas,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
Anderson County,Kansas,20,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Atchison County,Kansas,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barber County,Kansas,20,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Barton County,Kansas,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bourbon County,Kansas,20,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
Brown County,Kansas,20,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler County,Kansas,20,15,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
Chase County,Kansas,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chautauqua County,Kansas,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee County,Kansas,20,21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
Cheyenne County,Kansas,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,Kansas,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Kansas,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud County,Kansas,20,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Coffey County,Kansas,20,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Comanche County,Kansas,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowley County,Kansas,20,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
Crawford County,Kansas,20,37,0,0,0,0,0,0,0,0,1,0,0,2,1,2,1,0,2,2,1,0
Decatur County,Kansas,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson County,Kansas,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
Doniphan County,Kansas,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas County,Kansas,20,45,0,4,1,0,0,0,0,0,4,1,2,3,6,2,0,1,1,2,0,3
Edwards County,Kansas,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk County,Kansas,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis County,Kansas,20,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ellsworth County,Kansas,20,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finney County,Kansas,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ford County,Kansas,20,57,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,1,0
Franklin County,Kansas,20,59,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Geary County,Kansas,20,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Gove County,Kansas,20,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham County,Kansas,20,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,Kansas,20,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray County,Kansas,20,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Greeley County,Kansas,20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwood County,Kansas,20,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Hamilton County,Kansas,20,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harper County,Kansas,20,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey County,Kansas,20,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Haskell County,Kansas,20,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hodgeman County,Kansas,20,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County,Kansas,20,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Jefferson County,Kansas,20,87,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Jewell County,Kansas,20,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson County,Kansas,20,91,0,1,0,0,1,2,3,4,7,5,3,5,7,3,5,7,5,6,4,6
Kearny County,Kansas,20,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingman County,Kansas,20,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Kiowa County,Kansas,20,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Labette County,Kansas,20,99,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,1,3,0
Lane County,Kansas,20,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leavenworth County,Kansas,20,103,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,1,3,1,2,0
Lincoln County,Kansas,20,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linn County,Kansas,20,107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Logan County,Kansas,20,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon County,Kansas,20,111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0
McPherson County,Kansas,20,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Marion County,Kansas,20,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Marshall County,Kansas,20,117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Meade County,Kansas,20,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami County,Kansas,20,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mitchell County,Kansas,20,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Kansas,20,125,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
Morris County,Kansas,20,127,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Morton County,Kansas,20,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemaha County,Kansas,20,131,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Neosho County,Kansas,20,133,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1
Ness County,Kansas,20,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norton County,Kansas,20,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osage County,Kansas,20,139,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Osborne County,Kansas,20,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ottawa County,Kansas,20,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pawnee County,Kansas,20,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips County,Kansas,20,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pottawatomie County,Kansas,20,149,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Pratt County,Kansas,20,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Rawlins County,Kansas,20,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno County,Kansas,20,155,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,2,2,0,3,0
Republic County,Kansas,20,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice County,Kansas,20,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Riley County,Kansas,20,161,0,0,0,1,0,0,0,1,1,2,0,0,1,1,0,0,1,0,2,1
Rooks County,Kansas,20,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rush County,Kansas,20,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell County,Kansas,20,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Saline County,Kansas,20,169,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Scott County,Kansas,20,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedgwick County,Kansas,20,173,0,0,0,0,0,0,0,3,0,0,3,2,5,3,6,5,6,1,4,2
Seward County,Kansas,20,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawnee County,Kansas,20,177,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,2,0,3,1,0
Sheridan County,Kansas,20,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherman County,Kansas,20,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith County,Kansas,20,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stafford County,Kansas,20,185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stanton County,Kansas,20,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevens County,Kansas,20,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumner County,Kansas,20,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thomas County,Kansas,20,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trego County,Kansas,20,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabaunsee County,Kansas,20,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wallace County,Kansas,20,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,Kansas,20,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wichita County,Kansas,20,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson County,Kansas,20,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodson County,Kansas,20,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyandotte County,Kansas,20,209,0,0,0,0,0,0,2,1,0,0,1,0,2,2,3,3,2,0,2,0
Adair County,Kentucky,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Allen County,Kentucky,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anderson County,Kentucky,21,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Ballard County,Kentucky,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Barren County,Kentucky,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Bath County,Kentucky,21,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell County,Kentucky,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone County,Kentucky,21,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,2
Bourbon County,Kentucky,21,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyd County,Kentucky,21,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Boyle County,Kentucky,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bracken County,Kentucky,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Breathitt County,Kentucky,21,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Breckinridge County,Kentucky,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bullitt County,Kentucky,21,29,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Butler County,Kentucky,21,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell County,Kentucky,21,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calloway County,Kentucky,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell County,Kentucky,21,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Carlisle County,Kentucky,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Carroll County,Kentucky,21,41,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,0,0,0,0,0
Carter County,Kentucky,21,43,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
Casey County,Kentucky,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian County,Kentucky,21,47,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,Kentucky,21,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clay County,Kentucky,21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton County,Kentucky,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden County,Kentucky,21,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland County,Kentucky,21,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daviess County,Kentucky,21,59,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Edmonson County,Kentucky,21,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elliott County,Kentucky,21,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estill County,Kentucky,21,65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fayette County,Kentucky,21,67,1,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
Fleming County,Kentucky,21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floyd County,Kentucky,21,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Franklin County,Kentucky,21,73,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Fulton County,Kentucky,21,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin County,Kentucky,21,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garrard County,Kentucky,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,Kentucky,21,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Graves County,Kentucky,21,83,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grayson County,Kentucky,21,85,1,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Green County,Kentucky,21,87,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Greenup County,Kentucky,21,89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Hancock County,Kentucky,21,91,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hardin County,Kentucky,21,93,4,3,2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,2
Harlan County,Kentucky,21,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison County,Kentucky,21,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hart County,Kentucky,21,99,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
Henderson County,Kentucky,21,101,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Henry County,Kentucky,21,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hickman County,Kentucky,21,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins County,Kentucky,21,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson County,Kentucky,21,109,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Jefferson County,Kentucky,21,111,4,1,2,5,0,3,2,0,0,2,1,0,2,3,2,5,0,1,0,0
Jessamine County,Kentucky,21,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Johnson County,Kentucky,21,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Kenton County,Kentucky,21,117,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0
Knott County,Kentucky,21,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox County,Kentucky,21,121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Larue County,Kentucky,21,123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurel County,Kentucky,21,125,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0
Lawrence County,Kentucky,21,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lee County,Kentucky,21,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leslie County,Kentucky,21,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Letcher County,Kentucky,21,133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lewis County,Kentucky,21,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lincoln County,Kentucky,21,137,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Livingston County,Kentucky,21,139,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Logan County,Kentucky,21,141,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
Lyon County,Kentucky,21,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCracken County,Kentucky,21,145,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
McCreary County,Kentucky,21,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
McLean County,Kentucky,21,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,Kentucky,21,151,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
Magoffin County,Kentucky,21,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marion County,Kentucky,21,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall County,Kentucky,21,157,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Martin County,Kentucky,21,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason County,Kentucky,21,161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meade County,Kentucky,21,163,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
Menifee County,Kentucky,21,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mercer County,Kentucky,21,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metcalfe County,Kentucky,21,169,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Monroe County,Kentucky,21,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery County,Kentucky,21,173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan County,Kentucky,21,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muhlenberg County,Kentucky,21,177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson County,Kentucky,21,179,0,1,1,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Nicholas County,Kentucky,21,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio County,Kentucky,21,183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oldham County,Kentucky,21,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Owen County,Kentucky,21,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owsley County,Kentucky,21,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton County,Kentucky,21,191,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0
Perry County,Kentucky,21,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pike County,Kentucky,21,195,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Powell County,Kentucky,21,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski County,Kentucky,21,199,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0
Robertson County,Kentucky,21,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockcastle County,Kentucky,21,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowan County,Kentucky,21,205,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Russell County,Kentucky,21,207,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Scott County,Kentucky,21,209,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Shelby County,Kentucky,21,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Simpson County,Kentucky,21,213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Spencer County,Kentucky,21,215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor County,Kentucky,21,217,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Todd County,Kentucky,21,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigg County,Kentucky,21,221,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trimble County,Kentucky,21,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,Kentucky,21,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
